KU055517	#999ccc	Felis catus
FJ440104	#69cc33	Homo sapiens
MF537568	#cc3333	dog
MF537571	#cc3333	dog
MF537572	#cc3333	dog
MF537574	#cc3333	dog
MF537569	#cc3333	dog
MF537570	#cc3333	dog
HM368109	#cc3333	dog
HM368092	#cc3333	dog
HM368103	#cc3333	dog
HM368105	#cc3333	dog
HM368112	#cc3333	dog
HM368113	#cc3333	dog
HM368117	#cc3333	dog
HM368157	#cc3333	dog
HM368163	#999ccc	Felis catus
HM368155	#cc3333	dog
HM368162	#cc3333	dog
HM368101	#cc3333	dog
FJ947028	#cc3333	dog
MZ418099	#ccae99	donkey
MZ418087	#cc3333	dog
KF831545	#cc3333	dog
EU643557	#cc3333	dog
EU643556	#cc3333	dog
GU798393	#69cc33	Homo sapiens
KX148196	#cc3333	dog
GU798126	#cc4133	Bos
GU798270	#cc8766	Ovis
GU798271	#33cc3c	Equus asinus
GU798272	#cc4133	Bos
GU798267	#cc3333	dog
GU798542	#69cc33	Homo sapiens
LT909529	#66ccbd	29357361
LT909542	#66ccbd	29357361
GU798558	#33cc3c	Equus asinus
GU798559	#cc4133	Bos
GU798557	#cc8766	Ovis
M81058	#cc6a66	-
M81059	#cc6a66	-
GU798264	#cc3333	dog
GU798265	#cc3333	dog
EU851123	#cc3333	dog
GU798263	#cc3333	dog
GU798261	#69cc33	Homo sapiens
U22849	#69cc33	Homo sapiens
MN991296	#cc3333	dog
LC380214	#66cc92	Canis Adustus
LC380215	#cc3333	dog
LC380216	#cc3333	dog
KT119637	#cc3333	dog
KT119640	#cc3333	dog
LC380206	#cc3333	dog
KT119776	#cc3333	dog
U22638	#cc3333	dog
AB284516	#c8cc66	Bos taurus
LC380106	#c8cc66	Bos taurus
DQ194877	#cc3333	dog
DQ194878	#cc3333	dog
DQ900579	#3359cc	small-spotted genet
LT909528	#66ccbd	29357361
DQ900557	#999ccc	Felis catus
DQ900549	#cc3333	dog
AF177106	#6675cc	Canis mesomelas
